site;depth;fertile;frond_mass;primary_length;primary_width;frond_length;stipe_mass;stipe_length;stipe_circ;tufts;epi_length;total_length
Kalk Bay;shallow;No;2.4;12;5.5;163.7;0.56;127;11.5;4;0;302.7
Kalk Bay;shallow;No;1.9;10.6;9.5;136;0.55;156;22;4;0;302.6
Kalk Bay;shallow;No;3.4;14;6.2;126.5;1.1;157;14.5;5;0;297.5
Kalk Bay;shallow;No;2.2;18;14.2;106;0.8;89;21;4;0;213
Kalk Bay;shallow;No;1.52;9.9;5.3;105.5;0.4;88.3;10.7;5;0;203.7
Kalk Bay;shallow;No;2.5;17.2;4.8;123;1.52;150;10;8;0;290.2
Kalk Bay;shallow;No;4.1;17;9.5;177;1.3;179;21.5;4;0;373
Kalk Bay;shallow;No;4.3;15;9;150;1;141;20.5;4;0;306
Kalk Bay;shallow;No;1.54;15;8;178;0.52;105.8;19.5;3;0;298.8
Kalk Bay;shallow;No;4.4;16.3;6.6;153;1.3;198;15.9;4;0;367.3
Kalk Bay;shallow;No;4.1;18.2;10.2;129;0.8;133;21;3;0;280.2
Kalk Bay;shallow;No;3.8;13.7;8.3;143;0.8;116;15.5;3;0;272.7
Kalk Bay;shallow;No;3;18.8;9;152;1;145;18;4;0;315.8
Kalk Bay;deep;yes;5.25;19;14;145;6;490;25.5;9;399;635
Kalk Bay;deep;yes;2.6;15;12;132;5.2;377;19;8;276;509
Kalk Bay;deep;no;0.8;14;7;76;4.3;284;15.5;7;220;360
Kalk Bay;deep;no;1.3;11;7;84;5;391;16;6;265;475
Kalk Bay;deep;no;0.7;11.5;7.5;88;4.5;341;16.5;6;275;429
Kalk Bay;deep;yes;3.35;15;19;146;4.5;286;34;5;259;432
Kalk Bay;deep;no;3.25;14;13.5;165;4.25;281;24;7;228;446
Kalk Bay;deep;yes;2.5;16;12;152;6.4;486;20.5;6;442;638
Kalk Bay;deep;no;1.4;8;8;94;4.5;305;15.5;4;227;399
Kalk Bay;deep;yes;0.55;17;8;52;4.05;323;14.5;8;224;375
Kalk Bay;deep;no;1.5;15;9;117;1.25;322;19;9;305;439
Kalk Bay;deep;yes;3.9;14;13;148;7.25;461;23;6;402;609
Miller's Point;shallow;Yes;1.4;22;12;140;0.8;118;16;3;1;280
Miller's Point;shallow;Yes;3.4;15;12;150;1.3;181;21;3;1;346
Miller's Point;shallow;Yes;2.25;14;12;154;1;117;24;2;1;285
Miller's Point;shallow;Yes;1.35;14;12;127;0.75;105;16;2;1;246
Miller's Point;shallow;Yes;3.05;10;9;150;1.2;131;16;3;1;291
Miller's Point;shallow;Yes;2;12;9;155;0.95;150;19;3;1;317
Miller's Point;shallow;Yes;1;15;8;112;0.8;141;14;4;1;268
Miller's Point;shallow;Yes;2.05;15;7;110;1;166;15;3;1;291
Miller's Point;shallow;Yes;1;14;11;83;0.65;118;13;3;1;215
Miller's Point;shallow;Yes;1.05;24;18;113;1;134;14;4;1;271
Miller's Point;shallow;Yes;1.9;18;8;130;0.9;100;14;4;1;248
Miller's Point;shallow;Yes;1.4;14;7;122;1.1;138;16;2;1;274
Miller's Point;shallow;Yes;1.45;18;10;108;1.25;130;18;3;1;256
Miller's Point;deep;NA;2.25;17;11;170;5.25;531;17;10;380;701
Miller's Point;deep;NA;1.6;12;7.5;126;5.25;482;14;7;359;608
Miller's Point;deep;NA;1.75;15;9;137;5;455;15;8;258;592
Miller's Point;deep;NA;1.3;25;13;144;5.25;509;20;10;387;653
Miller's Point;deep;NA;2.75;22;21;144;5;574;30;8;500;718
Miller's Point;deep;NA;1.3;17;8;160;4.25;439;15;8;NA;599
Miller's Point;deep;NA;5.2;25;22;192;7.25;493;25;9;391;685
Miller's Point;deep;NA;2.25;19;10;174;4;386;17;9;65;560
Miller's Point;deep;NA;2.75;14;10;196;5.7;549;18;8;202;745
Miller's Point;deep;NA;2.5;NA;16;173;6.2;480;22;NA;420;653
Miller's Point;deep;NA;2.25;19;13;200;6;523;18;NA;292;723
Buffels Bay;shallow;Yes;1.5;12;11;116;0.75;101;18.5;3;1;229
Buffels Bay;shallow;No;1.4;11;12.5;125;0.95;130;14.5;3;1;266
Buffels Bay;shallow;No;0.6;8;9;87;0.55;72;13;3;1;167
Buffels Bay;shallow;No;2.35;13;10.5;123;1.3;119;20;3;1;255
Buffels Bay;shallow;Yes;1.45;14;9.5;120;0.8;98;19.5;3;1;232
Buffels Bay;shallow;Yes;0.6;8;5;102;0.4;89;8.5;3;1;199
Buffels Bay;shallow;No;1.25;14;7;105;0.75;128;17;4;1;247
Buffels Bay;shallow;No;0.5;10;5;106.5;0.7;127;10;4;1;243.5
Buffels Bay;shallow;No;1.4;13;6;150;0.25;142.5;11.5;5;1;305.5
Buffels Bay;shallow;Yes;1;12;15;95;1;105.5;23;3;1;212.5
Buffels Bay;shallow;Yes;1;13;12;96.5;0.75;83;24;3;1;192.5
Buffels Bay;shallow;Yes;1.55;12;14;139;1.1;160;21.5;2;1;311
Buffels Bay;shallow;Yes;1.2;14.5;10;117;0.8;118;21;3;1;249.5
Buffels Bay;deep;yes;0.75;14;8;82;5.8;634;19;7;0;716
Buffels Bay;deep;yes;2.25;13;8;142;4.2;59;17;8;0;201
Buffels Bay;deep;yes;3.9;17;9;160;6.3;618;18;7;0;778
Buffels Bay;deep;yes;1.5;13;7;103;5.75;540;14;8;0;643
Buffels Bay;deep;yes;2.75;16;8;117;5.3;607;18;8;0;724
Buffels Bay;deep;yes;2.05;21;9;165;4.25;574;13;8;157;739
Buffels Bay;deep;yes;1.625;19;9;138;5.25;59;17;11;31;197
Buffels Bay;deep;yes;3.75;17;8;170;5.5;676;15;8;0;846
Buffels Bay;deep;yes;2.25;20;9;165;5.4;623;20;11;87;788
Buffels Bay;deep;yes;2;21;9;125;5.6;662;15;11;90;787
Buffels Bay;deep;yes;2.65;20;9;123;4.25;565;15;9;14;688
Buffels Bay;deep;yes;2.25;10;6;152;5.75;524;15;7;70;676
Soetwater;shallow;Yes;2.85;21;11;134;0.5;56;18;3;1;211
Soetwater;shallow;Yes;2.1;23;11;150;0.75;78;21;4;1;251
Soetwater;shallow;Yes;2.4;22;6;128;0.35;76;11;3;1;226
Soetwater;shallow;Yes;0.7;17;13;88;0.85;96;17;2;1;201
Soetwater;shallow;Yes;1.7;16;6;142;0.4;104;11;2;1;262
Soetwater;shallow;Yes;0.8;14;7;101;0.45;90;14;2;1;205
Soetwater;shallow;Yes;1;18;4;125;0.45;115;10;2;1;258
Soetwater;shallow;Yes;3.25;18;9;116;0.85;121;19;4;1;255
